SUBNATIO,SCHOOLID,CNT,COUNTRY,OECD,SC01Q01,SC01Q02,SC02Q01,SC03Q01,SC03Q02,SC03Q03,SC03Q04,SC04Q01,SC04Q02,SC04Q03,SC04Q04,SC04Q05,SC04Q06,SC04Q07,SC04Q08,SC04Q09,SC04Q10,SC04Q11,SC04Q12,SC04Q13,SC04Q14,SC05Q01,SC05Q02,SC06Q01,SC07Q01,SC08Q01,SC08Q02,SC09Q11,SC09Q12,SC09Q21,SC09Q22,SC09Q31,SC09Q32,SC10Q01,SC11QA1,SC11QA2,SC11QA3,SC11QA4,SC11QB1,SC11QB2,SC11QB3,SC11QB4,SC11QC1,SC11QC2,SC11QC3,SC11QC4,SC11QD1,SC11QD2,SC11QD3,SC11QD4,SC11QE1,SC11QE2,SC11QE3,SC11QE4,SC11QF1,SC11QF2,SC11QF3,SC11QF4,SC11QG1,SC11QG2,SC11QG3,SC11QG4,SC11QH1,SC11QH2,SC11QH3,SC11QH4,SC11QI1,SC11QI2,SC11QI3,SC11QI4,SC11QJ1,SC11QJ2,SC11QJ3,SC11QJ4,SC11QK1,SC11QK2,SC11QK3,SC11QK4,SC11QL1,SC11QL2,SC11QL3,SC11QL4,SC12QA1,SC12QA2,SC12QA3,SC12QA4,SC12QB1,SC12QB2,SC12QB3,SC12QB4,SC12QC1,SC12QC2,SC12QC3,SC12QC4,SC12QD1,SC12QD2,SC12QD3,SC12QD4,SC12QE1,SC12QE2,SC12QE3,SC12QE4,SC12QF1,SC12QF2,SC12QF3,SC12QF4,SC13Q01,SC13Q02,SC13Q03,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC14Q12,SC14Q13,SC15Q01,SC15Q02,SC15Q03,SC16Q01,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC18Q01,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC20Q04,SC20Q05,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC23Q01,SC23Q02,SC23Q03,SC24Q01,SC25Q01,SC26Q01,SC27Q01,SC28Q01,SC29Q01,ABGROUP,CLSIZE,COMPWEB,IRATCOMP,PCGIRLS,PROPCERT,PROPQUAL,RATCOMP,SCHLTYPE,SCHSIZE,SELSCH,STRATIO,RESPRES,RESPCURR,ENVLEARN,SCIPROM,SCMATEDU,TCSHORT,W_FSCHWT,STRATUM,VER_SCH
27600,00153,DEU,276,1,   28,   22,1,   98.00,     .00,    2.00,     .00,1,1,1,1,1,1,1,1,1,2,2,2,2,2,    5.00,  996.00, 2,1,3,3,  20,   3,  20,   3,   0,   0,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,   20,   20,   20,1,1,1,1,9,9,9,1,1,1,2,3,2,1,2,1,3,2,2,2,2,1,2,1,4,4,4,4,4,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,3,3,2,1,2,5,1,1,18,   1.000,    .400,    .440,   1.000,    .000,    .400,3,      50,1,   2.326,   -.941,   -.677,  -.7088, -1.0674,   .2783, -1.0568, 238.8571,27697,P2006-04DEC07
27600,00154,DEU,276,1,  257,  183,1,   99.00,     .00,     .00,    1.00,2,2,2,2,1,1,1,1,1,1,2,2,2,2, 9999.00,  996.00, 4,3,2,3,  29,  14,9999,9999,9999,9999,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,   45,   38,   25,3,2,1,3,9,9,3,2,3,2,3,2,2,1,2,2,2,2,2,2,1,2,3,2,4,4,4,2,3,2,2,2,2,1,2,1,1,1,1,1,1,2,2,3,3,3,1,9,2,3,3,8,2,28,    .556,    .086,    .416,9999.000,9999.000,    .102,3,     440,1,  12.222,    .197,   -.121,  -.1756, -1.0674,  -.5332,   .9414,  45.3448,27697,P2006-04DEC07
27600,00155,DEU,276,1,  168,  122,1,  100.00, 9999.00, 9999.00, 9999.00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,    2.00,  996.00, 2,2,3,2,   3,  21,   3,  21,   3,  18,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,   48,   47,   47,1,1,2,3,1,1,1,2,2,1,3,3,2,1,1,2,2,2,1,1,2,1,1,2,4,3,4,4,3,1,2,2,1,1,2,1,1,1,2,1,2,1,2,3,3,3,3,2,2,2,3,1,2,18,    .979,    .162,    .421,   1.000,    .889,    .166,3,     290,2,  21.481,   -.986,   -.584,  -.7088,   .2108,  -.0778,   .4649,  75.1448,27697,P2006-04DEC07
27600,00156,DEU,276,1,  523,  361,1,  100.00,     .00,     .00,     .00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,   10.00,  996.00, 3,3,3,3,  19,  15,9998,9998,   0,   0,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,   16,   16,   16,3,3,3,3,9,4,4,4,2,2,3,3,4,1,2,2,3,2,2,2,2,1,3,2,3,2,4,3,4,1,2,2,2,1,2,1,1,1,1,1,2,2,2,3,2,3,3,2,1,1,3,2,1,23,   1.000,    .018,    .408,9999.000,    .000,    .018,3,     884,3,  33.358,  -1.077,  -1.094,  -.7088,  -.3330, -1.3086,  1.6436,  68.4591,27697,P2006-04DEC07
27600,00157,DEU,276,1,  200,  173,1,  100.00,     .00,     .00,     .00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,    6.00,  996.00, 4,3,3,3,  29,   4,  29,   4,   0,   0,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,   34,   27,   30,1,1,1,1,1,4,1,2,2,2,2,3,3,1,2,2,3,2,1,1,1,1,2,1,4,4,4,4,4,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,3,2,1,1,5,1,1,28,    .882,    .072,    .464,   1.000,    .000,    .091,3,     373,1,  12.032,   -.258,   -.955,  -.7088, -1.0674,  -.2340, -1.0568,  71.0621,27697,P2006-04DEC07
27600,00158,DEU,276,1,  259,  241,1,  100.00,     .00,     .00,     .00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,    5.00,  996.00, 3,5,9,2,  29,  18,  14,   6,   0,   0,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,   45,   38,   32,2,2,2,2,1,1,1,1,4,4,4,4,4,1,1,1,3,2,2,2,2,2,1,2,3,3,3,2,3,2,2,2,2,1,2,1,1,1,1,1,2,1,2,3,3,3,3,3,2,2,3,2,2,23,    .711,    .076,    .482,    .447,    .000,    .090,3,     500,2,  13.158,   -.827,   1.269,  -.1756, -1.0674, -1.3086,   .7142,  37.4642,27697,P2006-04DEC07
27600,00159,DEU,276,1,  387,  444,1,  100.00, 9999.00, 9999.00, 9999.00,2,2,2,2,1,1,1,1,1,1,1,1,1,2,    3.00,    3.00, 4,3,3,3,  54,  12,  54,  12,  54,  12,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,   95,   87,   90,3,3,1,1,3,3,2,2,2,1,2,1,2,1,1,2,3,2,2,2,2,1,3,4,1,1,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,8,1,1,28,    .947,    .105,    .534,   1.000,   1.000,    .114,3,     831,4,  13.850,   -.986,   -.955,  1.3899,  1.6397,   .2629,   .7142,  45.8682,27697,P2006-04DEC07
27600,00160,DEU,276,1,  230,  170,1,   94.00,    6.00, 9999.00, 9999.00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,   11.00,  996.00, 5,5,3,3,  14,  21,  14,  21,9999,9999,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,  125,  121,  125,1,1,1,1,2,2,4,2,1,1,2,3,2,2,2,2,3,2,2,2,2,1,1,2,1,2,4,2,4,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,3,3,2,1,2,3,2,1,33,   1.000,    .303,    .425,   1.000,9999.000,    .313,3,     400,4,  16.327,   -.258,   -.816,  -.1756, -1.0674,  -.2340, -1.0568,  50.7249,27697,P2006-04DEC07
27600,00161,DEU,276,1,  380,  393,1,   99.00,     .00,    1.00,     .00,2,2,2,2,1,1,1,1,1,1,2,2,2,2,    3.00,  996.00, 5,2,3,3,  26,  18,  26,  18,  23,  18,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,   26,   20,   23,3,1,2,3,9,9,3,3,3,3,2,2,3,1,2,2,2,2,1,1,2,2,1,2,1,3,4,3,4,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,3,1,1,33,    .885,    .026,    .508,   1.000,    .914,    .034,3,     773,4,  22.086,   -.895,   -.584,  -.1756,   .2108,  -.8292,   .9414,  33.3935,27697,P2006-04DEC07
27600,00162,DEU,276,1,  578,  519,1,  100.00, 9999.00, 9999.00, 9999.00,9,9,9,9,9,9,9,9,9,9,9,9,9,9, 9998.00, 9999.00, 4,2,1,3,  47,  20,  47,  20,9999,9999,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,   57,   50,   30,2,1,2,2,9,9,2,2,2,2,3,2,3,1,1,2,2,2,2,2,2,2,1,1,4,3,3,3,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,3,2,2,1,5,2,3,28,    .526,    .046,    .473,   1.000,9999.000,    .052,3,    1097,2,  19.246,   -.941,   -.399,  -.7088,  -.3330,  -.3850,   .4649,  26.2004,27697,P2006-04DEC07
